artist_name,artist_id,artist_popularity,artist_genres
Action/Adventure,7uBCPmZFHJzrQDlxHNsFwF,37,"['5th wave emo', 'anthem emo', 'chicago pop punk', 'easycore', 'pop punk']"
Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,67,"['album rock', 'heartland rock', 'mellow gold', 'rock']"
The Adventures Of Stevie V,7HOmuShc6sajk74rYV7zR2,35,['hip house']
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,65,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']"
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,82,"['filmi', 'modern bollywood']"
The Rah Band,7MDoXA8Kfykq3gkBkDBLtH,59,['brit funk']
Raheem DeVaughn,59NO6KX7wQCG7jGdtH1NtL,50,"['contemporary r&b', 'funk', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
A.B,6oTQez34xCLgytKa2QfCZ7,9,['freeform hardcore']
A.B,54ZXuEDqhFbQhtiB2M32YG,4,[]
A.B,4tZyCOk1QOprujlFraiFRl,2,[]
A.D.A.M. MUSIC PROJECT,19NbQWCfWWDi4gNidk4ooe,25,[]
