artist_name,artist_id,artist_popularity,artist_genres
Blanke,59Yq0xrABEihHANsfo9QMT,54,"['dubstep', 'edm', 'future bass', 'melodic dubstep']"
Blocktane,2DL1LxN8dHBG1tI3Q3TlK7,47,[]
Whiskey Myers,26opZSJcXshCmCwxgZQmBc,67,"['modern southern rock', 'texas country']"
The Whispers,2XzHxDFTNywDd5ReMhgxkg,54,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Whiskers,5hQeebc5h039UrHy8bkecA,18,[]
Whiskey Falls,0Wj5XD3AesB8FXsf6tUnBh,22,"['country road', 'modern country rock']"
Whiskey Shivers,2N91y9Uko6gWwugdCpxJYH,34,"['austin americana', 'deathgrass', 'new americana']"
Whiskeydick,3YAVqnYtTUDDzM4hpjMwn6,29,['deathgrass']
Whiskey Shivers,2N91y9Uko6gWwugdCpxJYH,34,"['austin americana', 'deathgrass', 'new americana']"
Whiskeydick,3YAVqnYtTUDDzM4hpjMwn6,29,['deathgrass']
The Whiskey Wolves,0ZCPUfieBwEvREhWpPcmoo,15,[]
Whiskeytown,0tyLMmQvEuyQR4qjGBdbem,44,"['alternative country', 'country rock', 'folk', 'indie folk', 'new americana', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']"
Whiskey Shivers,2N91y9Uko6gWwugdCpxJYH,34,"['austin americana', 'deathgrass', 'new americana']"
Whiskeydick,3YAVqnYtTUDDzM4hpjMwn6,29,['deathgrass']
ASMR Whisperers,6izg9i3QPbbZliH6dcs86s,44,['asmr']
WhisperAudios ASMR,7fGDcsgOFZ04EzVFGONS1G,36,['asmr']
A Whisper,0Bkqn0CjFIb96nVfStI6dy,29,[]
The Whispering Hymn,1fmnG8dSdVQHQx1IYse4na,29,[]
Whispering Sleep,5V483UTC7jqOpZPEIV6WVa,20,[]
Whispering Gentleman ASMR,2OYxuTf8XratVpmxqdGGvl,24,[]
Los Rebeldes Del Bravo,046Jq7WR16J3FdnI2au0ku,31,['deep norteno']
The Revels Chorus,1JINVUk1oB4ri3xG6UU9Jc,27,[]
Whiskeydick,3YAVqnYtTUDDzM4hpjMwn6,29,['deathgrass']
A Whisper,0Bkqn0CjFIb96nVfStI6dy,29,[]
WhispersRed ASMR,4U8XXDGEnDPl105GfimoI8,30,['asmr']
Whisper,5o5HVLvJOAQQl8KfQlRDn7,24,[]
A Whisper,0Bkqn0CjFIb96nVfStI6dy,29,[]
Whisper,5o5HVLvJOAQQl8KfQlRDn7,24,[]
The Whispertown 2000,249QdNfGTSDZrGBl5Ogo2P,3,[]
