artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['5r1bdqzhgRoHC3YcCV6N5a'],291426,False,4UduuGiARupdiCg52ju1c1,Christmas Time (Don't Let the Bells End) - Live,0.298,0.859,-5.468,0.126,0.0215,0.000672,0.97,0.268,116.0
['5r1bdqzhgRoHC3YcCV6N5a'],257866,False,3XYiJZiB4Ut91d3MLGewWn,I Believe in a Thing Called Love - Live,0.337,0.982,-4.461,0.132,0.00406,0.0307,0.99,0.358,137.0
['5VXKQP85PpaN5iyp3ZO4t5'],112000,True,0jxeWWBV5Y5ZEAFw1mgxKz,Deep in the Woods (Intro),0.288,0.373,-15.961,0.0744,0.185,0.0132,0.493,0.196,105.0
['5VXKQP85PpaN5iyp3ZO4t5'],104571,True,70HD4nBgLG8K2Ohb3PqQjU,Dead Bitches in Shallow Ditches,0.273,0.917,-4.336,0.081,6.69e-05,0.0461,0.305,0.368,141.0
['5VXKQP85PpaN5iyp3ZO4t5'],133714,True,1Sh48V6rBGCspf7MYXyAUS,Severed Limb Shibari,0.315,0.953,-3.656,0.199,2.77e-05,2.51e-05,0.0999,0.338,140.0
['5VXKQP85PpaN5iyp3ZO4t5'],174339,True,40b8hvAtHiYF3lVsTJ6rFK,"Played, Flayed, And Displayed",0.438,0.953,-3.665,0.0669,7.04e-06,0.0,0.133,0.325,106.0
['5VXKQP85PpaN5iyp3ZO4t5'],108923,True,4yoVzfaVPVYPjQa1AGGkmz,Mitch McConnell,0.386,0.887,-3.746,0.0742,3.02e-06,9.62e-05,0.194,0.461,130.0
['5VXKQP85PpaN5iyp3ZO4t5'],5853,True,6nc40WxFl9VQrbjyPLr4kC,Fetal Stew,,,,,,,,,
['5VXKQP85PpaN5iyp3ZO4t5'],154074,True,7hZQIZzQl7gvsLC3f2KtEI,Mass Mutilation,0.316,0.928,-3.74,0.0877,3.98e-06,0.385,0.0993,0.258,81.0
['5VXKQP85PpaN5iyp3ZO4t5'],97714,True,6tNyERjWzlSXYH3Ca0N8SA,Deceased Priest Feast,0.366,0.937,-5.089,0.302,0.000374,1.85e-05,0.277,0.52,140.0
['5VXKQP85PpaN5iyp3ZO4t5'],9862,True,51oj86xNxe7eWRGMXVWXN0,Sunday School Slaughter,,,,,,,,,
['5VXKQP85PpaN5iyp3ZO4t5'],186124,True,4Lj5MqQLo8Ssl0LEWDC6fq,Murderous,0.229,0.945,-4.377,0.0647,3.63e-06,0.00121,0.113,0.133,142.0
['5VXKQP85PpaN5iyp3ZO4t5'],11586,True,6fXOEId2JoAIA20eX0QGmj,Baby Buttplug,,,,,,,,,
['5VXKQP85PpaN5iyp3ZO4t5'],83294,True,3tpKgxJhwUrOlZToGwAbLr,Human Head Cheese,0.378,0.909,-4.422,0.15,0.00013,0.107,0.126,0.642,85.0
['5VXKQP85PpaN5iyp3ZO4t5'],86769,True,1pV9lh2YqTSYINVE3wiZ2q,Therapeutic Strangulation,0.356,0.924,-4.025,0.0558,5.7e-06,0.0475,0.0503,0.404,130.0
"['5VXKQP85PpaN5iyp3ZO4t5', '35PrZC9qrWcpdRzAc2EGAF']",144000,True,2SXuS7d8MWomwhK73tka1p,Basement Butchery,0.354,0.951,-3.583,0.0932,3.4e-05,0.00925,0.321,0.351,90.0
['5VXKQP85PpaN5iyp3ZO4t5'],7058,True,1tzjrAQKRpFiPU3xGgwNoi,Hand Grenade Abortion,,,,,,,,,
"['5VXKQP85PpaN5iyp3ZO4t5', '35PrZC9qrWcpdRzAc2EGAF']",178309,True,0KAwCYl8QafVrGxIQnzJfg,World of Shit,0.399,0.94,-4.057,0.0835,9.08e-06,9.26e-05,0.0765,0.431,142.0
['5VXKQP85PpaN5iyp3ZO4t5'],88000,True,7hszKCdZYHlRSgETBRwOV2,Bloated Bodies Bursting,0.352,0.804,-3.96,0.0508,0.000219,2.08e-06,0.353,0.482,90.0
['5VXKQP85PpaN5iyp3ZO4t5'],19636,True,2gUgJvpTofiPuyv655UV21,Nipplectomy,0.489,0.955,-3.345,0.109,2.48e-06,0.00917,0.0527,0.38,110.0
"['5VXKQP85PpaN5iyp3ZO4t5', '6yt6stiTmGh5N9leQDCamY']",100000,True,6ZWFzwmQ0RXZvr0QWeAwYV,Severed Head Bong,0.457,0.946,-4.407,0.112,8.89e-06,0.00162,0.821,0.315,96.0
['5VXKQP85PpaN5iyp3ZO4t5'],200000,True,3SKxovjpenZQiZG1KN7XCj,"Stripped, Raped, And Strangled",0.285,0.936,-3.844,0.214,1.34e-05,0.0144,0.164,0.224,75.0
['5lODCkFdEtpPn3YxfmyLfT'],225640,False,1W9PiMyTpMGHORW52pSQgt,Adoro,0.396,0.212,-17.892,0.0422,0.82,5.69e-05,0.235,0.298,177.0
['5lODCkFdEtpPn3YxfmyLfT'],189760,False,3pPOcpv4m2kKYiyGCjEUO8,Mia,0.65,0.175,-17.846,0.0621,0.827,0.0054,0.198,0.595,140.0
['5lODCkFdEtpPn3YxfmyLfT'],194066,False,5REArf7BAN8hgJ1zR6v4cC,Contigo Aprendi,0.379,0.152,-19.333,0.0478,0.913,0.0117,0.277,0.194,140.0
['5lODCkFdEtpPn3YxfmyLfT'],185853,False,0ojrAO9Rf41f6SqU77EW11,Otra Vez,0.655,0.207,-19.533,0.0471,0.797,0.0379,0.129,0.388,146.0
['5lODCkFdEtpPn3YxfmyLfT'],214373,False,08HopeS7Habl1qNDwdBgEv,Esta Tarde Vi Llover,0.377,0.137,-20.301,0.0443,0.748,7.42e-05,0.0963,0.228,146.0
['5lODCkFdEtpPn3YxfmyLfT'],168613,False,1nwPlq7rfCCJ3JwT9jEoZV,Felicidad,0.65,0.345,-17.717,0.0658,0.723,0.00165,0.121,0.562,144.0
['5lODCkFdEtpPn3YxfmyLfT'],194626,False,7vNerpfSmfzG9f3TaNjNfc,Somos Novios,0.486,0.182,-20.06,0.0391,0.613,0.00769,0.265,0.28,144.0
['5lODCkFdEtpPn3YxfmyLfT'],188613,False,2iBv6v2H1FPssd7Q94uhWq,Señor Amor,0.379,0.106,-22.208,0.0423,0.955,0.894,0.109,0.133,111.0
['5lODCkFdEtpPn3YxfmyLfT'],161640,False,7sFJ2v1m98AGV0ZQ1KzJrD,Voy A Apagar La Luz,0.59,0.107,-24.87,0.0417,0.962,0.896,0.109,0.197,146.0
['5lODCkFdEtpPn3YxfmyLfT'],191253,False,64vqsAYt78ATrbqrYZpItE,Te Extraño,0.489,0.0598,-26.542,0.0342,0.957,0.917,0.0861,0.13,131.0
['5lODCkFdEtpPn3YxfmyLfT'],186720,False,4JsGUqSCZvKUKa4ebz0N5H,No Se Tu,0.519,0.107,-23.049,0.0541,0.953,0.856,0.108,0.0903,133.0
['5lODCkFdEtpPn3YxfmyLfT'],179253,False,1PXfoQ7DMh6eApBWEfbyou,Cuando Estoy Contigo,0.626,0.174,-22.242,0.058,0.978,0.915,0.114,0.3,128.0
['5lODCkFdEtpPn3YxfmyLfT'],133613,False,32I0bKFDCxNtF9vnXhfCVY,EL Ciego,0.703,0.152,-24.319,0.0873,0.978,0.897,0.117,0.407,77.0
['5lODCkFdEtpPn3YxfmyLfT'],157866,False,0QKsYn7KQnysiP0Zg4uvAs,Parece Que Fue Ayer,0.76,0.197,-22.396,0.0605,0.984,0.935,0.0993,0.768,101.0
['5lODCkFdEtpPn3YxfmyLfT'],171080,False,12dencYyjehyKS5izR2DD9,No,0.659,0.301,-22.628,0.179,0.963,0.907,0.108,0.655,89.0
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,222RKqIMPgE9dTD7uPl7tN,"White Noise 950 Hz, Pt. 1",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,5ZGDGNJXatUtDVGOtgyv8O,"White Noise 950 Hz, Pt. 2",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,2jVnKJ9I5Z0G9uVm5yfMlq,"White Noise 950 Hz, Pt. 3",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,5zYMmImPRN82SF7UkdcGtn,"White Noise 950 Hz, Pt. 4",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,5NFtzT02ywLY5hqGYS8c4i,"White Noise 950 Hz, Pt. 5",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,0gDTH4ouaJ4DJUdT2h715y,"White Noise 950 Hz, Pt. 6",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,6hAdW9oF5SUEocMhf8QZIr,"White Noise 950 Hz, Pt. 7",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,6FJ3LnOn7NX6IZDNvO2LUE,"White Noise 950 Hz, Pt. 8",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,2nk1tkOXH24RVC13LPenl0,"White Noise 950 Hz, Pt. 9",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,129JsTNO2bUim1twkAw3aT,"White Noise 950 Hz, Pt. 10",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,2qhM1Met17lr4GLGsCmrDY,"White Noise 950 Hz, Pt. 11",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,0L1MDXMvrvT3hApcC45f3s,"White Noise 950 Hz, Pt. 12",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,3QkgUzbryRfkKvOvVs2Wu1,"White Noise 950 Hz, Pt. 13",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,3RrSvmW7gMElyx3fYFFiRf,"White Noise 950 Hz, Pt. 14",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,09ZF0cK6TH9ovvx7N0SFbA,"White Noise 950 Hz, Pt. 15",,,,,,,,,
['5Qy8m6Lg01pGlWUj483vkB'],34000,False,2YGsDRZ94jAkVRyX5SQQwT,"White Noise 950 Hz, Pt. 16",,,,,,,,,
